abbr,br,league,division,city,name,blank,date,blank,location,state
ANA,LAA,AL,W,Los Angeles,Angels,,4/5/05,,Anaheim,CA
ARI,ARI,NL,W,Arizona,Diamondbacks,,3/31/98,,Phoenix,AZ
ATL,ATL,NL,E,Atlanta,Braves,,4/4/94,,Atlanta,GA
BAL,BAL,AL,E,Baltimore,Orioles,,4/8/69,,Baltimore,MD
BOS,BOS,AL,E,Boston,Red Sox,,4/8/69,,Boston,MA
CHA,CHW,AL,C,Chicago,White Sox,,4/4/94,,Chicago,IL
CHN,CHI,NL,C,Chicago,Cubs,,4/4/94,,Chicago,IL
CIN,CIN,NL,C,Cincinnati,Reds,,4/3/94,,Cincinnati,OH
CLE,CLE,AL,C,Cleveland,Indians,,4/4/94,,Cleveland,OH
COL,COL,NL,W,Colorado,Rockies,,4/5/93,,Denver,CO
DET,DET,AL,C,Detroit,Tigers,,3/31/98,,Detroit,MI
FLO,MIA,NL,E,Florida,Marlins,,4/5/93,,Miami,FL
HOU,HOU,AL,W,Houston,Astros,,3/31/13,,Houston,TX
KCA,KCR,AL,C,Kansas City,Royals,,4/4/94,,Kansas City,MO
LAN,LAD,NL,W,Los Angeles,Dodgers,,4/7/69,,Los Angeles,CA
MIL,MIL,NL,C,Milwaukee,Brewers,,3/31/98,,Milwaukee,WI
MIN,MIN,AL,C,Minnesota,Twins,,4/5/94,,Minneapolis,MN
NYA,NYY,AL,E,New York,Yankees,,4/7/69,,New York,NY
NYN,NYM,NL,E,New York,Mets,,4/8/69,,New York,NY
OAK,OAK,AL,W,Oakland,Athletics,A's,4/8/69,,Oakland,CA
PHI,PHI,NL,E,Philadelphia,Phillies,,4/8/69,,Philadelphia,PA
PIT,PIT,NL,C,Pittsburgh,Pirates,,4/4/94,,Pittsburgh,PA
SDN,SDP,NL,W,San Diego,Padres,,4/8/69,,San Diego,CA
SEA,SEA,AL,W,Seattle,Mariners,,4/6/77,,Seattle,WA
SFN,SFG,NL,W,San Francisco,Giants,,4/7/69,,San Francisco,CA
SLN,STL,NL,C,St. Louis,Cardinals,,4/3/94,,St. Louis,MO
TBA,TBR,AL,E,Tampa Bay,Rays,,3/31/08,,St. Petersburg,FL
TEX,TEX,AL,W,Texas,Rangers,,4/15/72,,Arlington,TX
TOR,TOR,AL,E,Toronto,Blue Jays,,4/7/77,,Toronto,ON
WAS,WSN,NL,E,Washington,Nationals,,4/4/05,,Washington,DC
MON,MON,NL,E,Montreal,Expos,,4/8/69,,Montreal,QC
MIA,MIA,NL,E,Florida,Marlins,,4/5/93,,Miami,FL
